Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:20,010,8000EBD30,010,8000EBD30,3697.34,US Dollar,3697.34,US Dollar,Reinvestment,0
2022/09/01 00:20,03208,8000F4580,001,8000F5340,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/09/01 00:00,03209,8000F4670,03209,8000F4670,14675.57,US Dollar,14675.57,US Dollar,Reinvestment,0
2022/09/01 00:02,012,8000F5030,012,8000F5030,2806.97,US Dollar,2806.97,US Dollar,Reinvestment,0
2022/09/01 00:06,010,8000F5200,010,8000F5200,36682.97,US Dollar,36682.97,US Dollar,Reinvestment,0
2022/09/01 00:03,001,8000F5AD0,001,8000F5AD0,6162.44,US Dollar,6162.44,US Dollar,Reinvestment,0
2022/09/01 00:08,001,8000EBAC0,001,8000EBAC0,14.26,US Dollar,14.26,US Dollar,Reinvestment,0
2022/09/01 00:16,001,8000EC1E0,001,8000EC1E0,11.86,US Dollar,11.86,US Dollar,Reinvestment,0
2022/09/01 00:26,012,8000EC280,002439,8017BF800,7.66,US Dollar,7.66,US Dollar,Credit Card,0
2022/09/01 00:21,001,8000EDEC0,0211050,80AEF5310,383.71,US Dollar,383.71,US Dollar,Credit Card,0
2022/09/01 00:04,001,8000F4510,011813,8011305D0,9.82,US Dollar,9.82,US Dollar,Credit Card,0
2022/09/01 00:04,001,8000F47F0,001,8000F47F0,9.38,US Dollar,9.38,US Dollar,Reinvestment,0
2022/09/01 00:08,001,8000F4FE0,0245335,812ED62E0,4.01,US Dollar,4.01,US Dollar,Credit Card,0
2022/09/01 00:17,010,80012FD90,0036056,812ED6380,106.70,US Dollar,106.70,US Dollar,Credit Card,0
2022/09/01 00:11,012,80012FE00,013037,805B34210,0.54,US Dollar,0.54,US Dollar,Credit Card,0
2022/09/01 00:09,001,80012FE50,001,80012FE50,3944232.29,US Dollar,3944232.29,US Dollar,Reinvestment,0
2022/09/01 00:11,010,80012FEA0,010,80012FEA0,10020.68,US Dollar,10020.68,US Dollar,Reinvestment,0
2022/09/01 00:00,01420,8005DFEB0,01420,8005DFEB0,897.37,US Dollar,897.37,US Dollar,Reinvestment,0
2022/09/01 00:28,01665,8005E18F0,01665,8005E18F0,157.57,US Dollar,157.57,US Dollar,Reinvestment,0
2022/09/01 00:22,01665,8005E24C0,01665,8005E24C0,52.75,US Dollar,52.75,US Dollar,Reinvestment,0
2022/09/01 00:28,01420,8005F2D30,01420,8005F2D30,8163.85,US Dollar,8163.85,US Dollar,Reinvestment,0
2022/09/01 00:12,010,800131480,010,800131480,5.74,US Dollar,5.74,US Dollar,Reinvestment,0
2022/09/01 00:20,012,800131B10,0011642,8131A9A80,46.86,US Dollar,46.86,US Dollar,Credit Card,0
2022/09/01 00:02,01665,8005E18F0,01665,8005E18F0,9.89,US Dollar,9.89,US Dollar,Reinvestment,0
2022/09/01 00:21,010,8005F0B50,013327,810B0FB40,86.30,US Dollar,86.30,US Dollar,Credit Card,0
2022/09/01 00:16,00908,8005FB700,0143995,813600910,3.16,US Dollar,3.16,US Dollar,Credit Card,0
2022/09/01 00:25,01420,8005FD390,01420,8005FD390,780457.62,US Dollar,780457.62,US Dollar,Reinvestment,0
2022/09/01 00:09,01688,8005FD430,01688,8005FD430,748.62,US Dollar,748.62,US Dollar,Reinvestment,0
2022/09/01 00:11,001,800A5F020,01420,8006A3840,1210984.00,US Dollar,1210984.00,US Dollar,ACH,0
2022/09/01 00:29,01420,8005FD390,01292,8006A3890,38386097.00,US Dollar,38386097.00,US Dollar,Cheque,0
2022/09/01 00:12,010,8006AF500,010,8006AF500,956.43,US Dollar,956.43,US Dollar,Reinvestment,0
2022/09/01 00:25,031125,8006AF550,031125,8006AF550,43.44,US Dollar,43.44,US Dollar,Reinvestment,0
2022/09/01 00:26,010,800058100,01688,8005FD430,159271.00,US Dollar,159271.00,US Dollar,ACH,0
2022/09/01 00:14,01420,8006A3840,0217680,80C132DC0,3.62,US Dollar,3.62,US Dollar,Credit Card,0
