Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 15:24,43049,81006E290,245558,811546190,10690.49,Shekel,10690.49,Shekel,Cash,0
2022/09/01 00:21,70,100428660,1124,800825340,389769.39,US Dollar,389769.39,US Dollar,Cheque,1
2022/09/09 14:42,214529,804D79AA0,13659,80608C780,350038.03,Rupee,350038.03,Rupee,ACH,1
2022/09/02 02:03,214,80BEF3350,12,80C968440,1764760.78,Mexican Peso,1764760.78,Mexican Peso,ACH,0
2022/09/10 12:32,231212,80ED002D0,29715,80CB11750,44561.41,Yuan,44561.41,Yuan,ACH,1
2022/09/01 00:02,5140,813F88170,5140,813F88170,22.2,US Dollar,22.2,US Dollar,Reinvestment,0
2022/09/13 06:57,1490,8002D1950,28,8000B8AB0,282879.12,Mexican Peso,282879.12,Mexican Peso,ACH,1
2022/09/02 10:30,15,80A10B9C0,28317,80A939750,17109.88,Australian Dollar,17109.88,Australian Dollar,Credit Card,0
2022/09/06 18:14,410,801D86E90,1299,80263C970,1470.14,Euro,1470.14,Euro,Cheque,0
2022/09/03 11:06,3514,801ACBA10,21831,801ACC0E0,3385.54,Euro,3385.54,Euro,ACH,1
2022/09/02 08:54,2991,80104A3B0,110836,80DF15DE0,1040.08,US Dollar,1040.08,US Dollar,Cheque,0
2022/09/08 22:48,22828,8091E0B30,25981,809CAF060,15045.98,US Dollar,15045.98,US Dollar,Credit Card,0
2022/09/08 19:36,118,80E5E4710,116,80E8A6B40,166137.73,Swiss Franc,166137.73,Swiss Franc,ACH,0
2022/09/06 10:30,1292,8005BD570,21749,80154AAF0,196.38,Euro,196.38,Euro,ACH,1
2022/09/02 20:22,70,100428858,125575,8096A2A40,1382.81,Canadian Dollar,1382.81,Canadian Dollar,Cheque,0
2022/09/03 18:53,116,80F1AF380,1124,805F9C820,6986.5,US Dollar,6986.5,US Dollar,ACH,1
2022/09/05 22:16,217950,80B5B8CE0,23003,80B5BA320,671.34,Euro,671.34,Euro,ACH,1
2022/09/04 08:38,410,800637BD0,11056,800637D10,2679.53,Euro,2679.53,Euro,ACH,1
2022/09/08 22:40,2439,802C60E20,23842,802C627E0,3278.1,US Dollar,3278.1,US Dollar,ACH,1
2022/09/08 18:08,23842,8019C0990,18200,803616220,108970.89,Yuan,108970.89,Yuan,ACH,1
2022/09/03 16:16,143493,8105EED40,146484,81183FB50,67107.39,Shekel,67107.39,Shekel,Cheque,0
2022/09/01 00:02,12129,809AC7120,212048,809AC71C0,91527.0,Yen,91527.0,Yen,Cheque,0
2022/09/02 17:55,21387,8021A3BC0,5464,802E1FCF0,80.7,Euro,80.7,Euro,Cheque,0
2022/09/09 10:08,10709,80688EDC0,111121,80698E6A0,8016.54,Euro,8016.54,Euro,Credit Card,0
2022/09/09 07:52,20,803957B40,225622,80D9C9960,1762.06,Yuan,1762.06,Yuan,Cheque,0
2022/09/06 21:08,11405,800EE6B70,21749,801EC18E0,12155.7,Euro,12155.7,Euro,ACH,1
2022/09/08 21:41,216645,80AEAF070,28771,80E26E1D0,126064.24,US Dollar,126064.24,US Dollar,Wire,0
2022/09/13 05:30,21749,801F05EF0,21940,801928EE0,3676.61,US Dollar,3676.61,US Dollar,ACH,1
2022/09/09 19:35,143496,810617860,7,81225DDF0,870823.91,Rupee,870823.91,Rupee,ACH,1
2022/09/01 06:27,2824,8042918C0,15980,8042943C0,1048286.0,US Dollar,1048286.0,US Dollar,ACH,0
2022/09/06 22:00,213,8087ED2E0,213,8087ED4B0,833.46,Canadian Dollar,833.46,Canadian Dollar,ACH,1
2022/09/03 09:42,113523,8054100E0,16,804CEC8B0,510191.28,Rupee,510191.28,Rupee,ACH,1
2022/09/03 01:13,4,800072EF0,26302,809DACA80,6791.33,Canadian Dollar,6791.33,Canadian Dollar,ACH,1
2022/09/09 00:22,21,803B76D30,12019,80C3AB540,66647.76,Yen,66647.76,Yen,Credit Card,0
2022/09/12 18:33,21611,8051B3BF0,25960,80B44AC00,17064.59,Euro,17064.59,Euro,ACH,1
2022/09/05 02:58,220,80FF95870,220,810126370,13099.36,Shekel,13099.36,Shekel,Cheque,0
2022/09/01 00:28,21575,80DFDB700,21575,80DFDB700,1754.8,US Dollar,1754.8,US Dollar,Reinvestment,0
2022/09/05 01:28,8805,806689160,139342,80EB1E930,13631.38,Swiss Franc,13631.38,Swiss Franc,ACH,1
2022/09/02 15:12,20,801F97E90,26860,80ABDE970,608.13,Euro,608.13,Euro,Credit Card,0
2022/09/13 23:54,4403,80F962B10,908,800DD0D90,975.28,US Dollar,975.28,US Dollar,ACH,1
2022/09/03 12:07,20,8025D0DB0,12,8025D1420,3384.64,Euro,3384.64,Euro,ACH,1
2022/09/04 09:54,10,8001BB380,23,8000FBD00,3946.65,Euro,3946.65,Euro,ACH,1
2022/09/06 10:37,70,100428660,26592,80AAFD790,2250.11,US Dollar,2250.11,US Dollar,Cash,0
2022/09/03 02:24,16333,802CDC780,214621,8072203B0,10622.81,US Dollar,10622.81,US Dollar,ACH,1
2022/09/03 07:35,15,803B24460,1132,80BEC50F0,53430.23,Mexican Peso,53430.23,Mexican Peso,ACH,1
2022/09/02 08:55,213952,808338D40,20,803892E30,93566.3,Yuan,93566.3,Yuan,ACH,1
2022/09/08 18:11,795,8126984C0,221868,812698CC0,2049.29,US Dollar,2049.29,US Dollar,ACH,0
2022/09/06 17:43,24811,811A90B70,215803,8126E1F30,97.21,Euro,97.21,Euro,Cheque,0
2022/09/07 01:17,70,100428660,221332,80AE8E580,5116.48,US Dollar,5116.48,US Dollar,Cheque,0
2022/09/01 00:01,218755,808117B50,218755,808117B50,740.49,Euro,740.49,Euro,Reinvestment,0
2022/09/09 02:23,70,100428978,239604,80EF0F670,18.35,Swiss Franc,18.35,Swiss Franc,Cheque,0
2022/09/09 17:45,24482,801B85FF0,233603,812914140,2008.55,Euro,2008.55,Euro,Cheque,0
2022/09/02 08:00,11107,800E9F790,1547,8003541A0,9270.55,Euro,9270.55,Euro,ACH,1
2022/09/02 11:53,1244,8070C4AE0,17907,807109540,46327.79,US Dollar,46327.79,US Dollar,ACH,1
2022/09/08 03:04,111433,80BC08370,908,80BC083C0,17086.53,US Dollar,17086.53,US Dollar,ACH,1
2022/09/09 02:09,217096,80635C1A0,287,80635E580,203453.51,Ruble,203453.51,Ruble,ACH,1
2022/09/03 01:02,213,80C93DF00,22828,801928280,12449.87,US Dollar,12449.87,US Dollar,ACH,1
2022/09/02 06:37,4242,8026AE750,1467,8038BA630,865.67,US Dollar,865.67,US Dollar,Cheque,0
