Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/06 08:38,4242,801CF32E0,11974,8041E7F20,1430.97,US Dollar,1430.97,US Dollar,Cheque,0
2022/09/01 10:59,118,80EA830E0,118,80EA830E0,6663.48,Swiss Franc,6663.48,Swiss Franc,Reinvestment,0
2022/09/03 07:45,20,800AADCF0,23555,801C6AB60,1799.63,Euro,1799.63,Euro,Cheque,0
2022/09/02 15:21,221032,80BCC3AA0,131800,812AC7640,1223.64,Euro,1223.64,Euro,Cheque,0
2022/09/07 04:57,70,1004286A8,119880,8110D29E0,506.42,Euro,506.42,Euro,Cheque,0
2022/09/05 21:56,3,800E0A8F0,21381,802F8B230,28563.86,Yuan,28563.86,Yuan,Credit Card,0
2022/09/01 07:28,329261,80F9952F0,329261,80F9952F0,354781.41,Yuan,354781.41,Yuan,Reinvestment,0
2022/09/01 00:17,140754,80F4345F0,140754,80F4345F0,10.06,Swiss Franc,10.06,Swiss Franc,Reinvestment,0
2022/09/08 13:42,70,100428A08,148586,811FFE910,242887.28,Saudi Riyal,242887.28,Saudi Riyal,Cash,1
2022/09/08 17:49,225215,80953C260,25113,8099D7540,180.53,Canadian Dollar,180.53,Canadian Dollar,Credit Card,0
2022/09/01 06:06,13862,802A3E340,26580,807BCA7F0,864.03,Euro,864.03,Euro,Cheque,0
2022/09/14 14:24,118,811B6E170,148016,811DCA680,25114.31,Saudi Riyal,25114.31,Saudi Riyal,ACH,1
2022/09/01 21:07,1665,8005ABE70,122916,81360DE00,533585.91,US Dollar,533585.91,US Dollar,Wire,0
2022/09/08 09:07,70,100428660,113744,80DF1FC30,8725.63,US Dollar,8725.63,US Dollar,Cash,1
2022/09/01 09:55,16354,806C09A50,10404,8093BF6E0,19761.36,Euro,19761.36,Euro,Cheque,0
2022/09/02 18:50,116,80DC1D4A0,117,80DC45810,1354.23,Swiss Franc,1354.23,Swiss Franc,Credit Card,0
2022/09/05 00:39,137218,80E23B6C0,241869,80FC49250,25.54,Swiss Franc,25.54,Swiss Franc,Wire,0
2022/09/07 22:13,2053,802AAE4C0,3420,80317A730,325.78,US Dollar,325.78,US Dollar,Cash,0
2022/09/01 15:59,5425,802DA4DA0,5425,802DA4DA0,10.9,Euro,10.9,Euro,Reinvestment,0
2022/09/05 13:42,13862,801738820,23555,80A3CA2E0,13.88,Euro,13.88,Euro,Credit Card,0
2022/09/02 21:22,70,100428660,232555,813ECE920,589.25,US Dollar,589.25,US Dollar,Credit Card,0
2022/09/07 05:18,10,8060F09B0,9,80703A390,13325.43,Ruble,13325.43,Ruble,ACH,0
2022/09/01 00:27,346803,81120E010,144639,81120DFC0,16334.88,Shekel,16334.88,Shekel,Cheque,0
2022/09/02 11:41,3229,80161D490,2439,80161E290,2333.98,US Dollar,2333.98,US Dollar,ACH,0
2022/09/04 01:42,1068,8089AEF40,15085,8089AF440,3696.96,US Dollar,3696.96,US Dollar,ACH,1
2022/09/05 15:49,9665,8039B4CB0,15,8039FCAC0,164969.01,Yen,164969.01,Yen,Cheque,0
2022/09/02 08:05,111141,80D1EDA20,117660,80E0C7B50,39.45,Euro,39.45,Euro,Cheque,0
2022/09/07 06:10,1,80387F580,20727,80810EA70,59.22,Euro,59.22,Euro,Cheque,0
2022/09/01 07:55,14233,8068A0FE0,14233,8068A0FE0,20.62,Euro,20.62,Euro,Reinvestment,0
2022/09/09 21:53,70,1004286A8,21922,8080A3C50,2430.2,Euro,2430.2,Euro,Credit Card,1
2022/09/01 03:55,21575,8034109E0,23842,80512BE40,10325.89,US Dollar,10325.89,US Dollar,Cash,0
2022/09/01 23:52,4403,8022AE9C0,215064,80F90B370,1898.4,US Dollar,1898.4,US Dollar,Credit Card,0
2022/09/02 10:26,12,800506810,1853,80B7C0E00,1885.87,US Dollar,1885.87,US Dollar,Cheque,0
2022/09/01 23:12,235580,80CF151B0,135155,80D6D1D10,19100.73,Brazil Real,19100.73,Brazil Real,Cheque,0
2022/09/13 10:30,42373,8124B1D90,41407,80F454910,992.49,Swiss Franc,992.49,Swiss Franc,ACH,1
2022/09/06 18:06,48309,811C599A0,150240,812D22980,66099.95,Saudi Riyal,66099.95,Saudi Riyal,ACH,1
2022/09/08 13:33,219444,8070ED960,41213,8133D2A60,2250.12,Euro,2250.12,Euro,Credit Card,0
2022/09/02 00:05,9608,804A08200,4,80B100BD0,1344058.56,Yuan,1344058.56,Yuan,ACH,0
2022/09/01 04:34,133686,80CC88270,133686,80CC88270,224.64,Mexican Peso,224.64,Mexican Peso,Reinvestment,0
2022/09/02 12:32,213952,808338D40,11056,80ABDD6E0,2962.96,Euro,2962.96,Euro,ACH,1
2022/09/04 23:23,122047,80836D210,212,8089E5070,172.95,UK Pound,172.95,UK Pound,Credit Card,0
2022/09/08 15:30,12,8009CB800,16254,8033FCF10,1152.8,Euro,1152.8,Euro,Cheque,0
2022/09/09 20:41,70,100428660,4523,80FCC8AD0,1043.59,US Dollar,1043.59,US Dollar,Cheque,0
2022/09/10 23:33,3,804F788A0,14766,805F39640,107298.42,Rupee,107298.42,Rupee,Cheque,0
2022/09/02 03:33,217,8000D3D80,119,80F12C690,2989.1,Shekel,2989.1,Shekel,Cheque,0
2022/09/10 03:04,112354,807B09790,213137,80C7CD080,195.25,Euro,195.25,Euro,Cheque,0
2022/09/07 10:08,1267,80360C8C0,4,804D81BF0,3475.12,Yuan,3475.12,Yuan,ACH,0
2022/09/09 20:53,1420,807CC20A0,19474,808559930,717243.78,US Dollar,717243.78,US Dollar,Cash,0
2022/09/04 02:33,112,80ED948A0,39556,80F1F5B60,43.89,Swiss Franc,43.89,Swiss Franc,Cheque,0
