Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 09:56,17321,81028BB90,17321,81028BB90,148151.49,Euro,148151.49,Euro,Reinvestment,0
2022/09/09 12:02,220,8015998C0,2454,8032B60F0,17183573.91,US Dollar,17183573.91,US Dollar,Cash,0
2022/09/07 11:39,215687,809B538B0,148212,812B77870,60.38,US Dollar,60.38,US Dollar,ACH,0
2022/09/01 12:25,124,813B6C3E1,124,814276621,0.038678,Bitcoin,0.038678,Bitcoin,Bitcoin,0
2022/09/06 23:30,11107,800753CF0,2843,80165FA40,755.66,US Dollar,755.66,US Dollar,Credit Card,0
2022/09/09 03:23,24922,809161F50,213,8097E66A0,1358.93,Canadian Dollar,1358.93,Canadian Dollar,Cash,0
2022/09/02 10:49,220,8000E6DF1,220,8000E6DF1,0.007114,Bitcoin,0.007114,Bitcoin,Bitcoin,0
2022/09/09 01:00,14290,802178860,28183,809552EE0,9729.01,Euro,9729.01,Euro,Cheque,0
2022/09/10 06:45,1,8005486E0,1457,8052231B0,362.45,US Dollar,362.45,US Dollar,Cheque,0
2022/09/07 00:12,111443,8111C5D30,115363,812D34A60,81.08,US Dollar,81.08,US Dollar,Credit Card,0
2022/09/10 12:10,2627,80130C800,1502,801FE7230,13932.84,Euro,13932.84,Euro,Cheque,0
2022/09/01 16:05,13037,802C44150,3229,806A87FA0,739.1,US Dollar,739.1,US Dollar,Cheque,0
2022/09/03 03:37,11471,805319F50,31653,812D9D5C0,1331.22,US Dollar,1331.22,US Dollar,Cheque,0
2022/09/01 00:11,343913,8105EAA60,343913,8105EAA60,59.02,Shekel,59.02,Shekel,Reinvestment,0
2022/09/07 16:11,254242,813E0EC01,54219,81402A741,0.013818,Bitcoin,0.013818,Bitcoin,Bitcoin,0
2022/09/01 06:59,15,803866B40,21,803AED670,9987740.46,Yen,9987740.46,Yen,Cheque,0
2022/09/02 06:37,70,1004288E8,1132,80C084160,214568.61,Mexican Peso,214568.61,Mexican Peso,Credit Card,0
2022/09/05 03:20,2843,8005EB1D0,1588,80EE78700,22.11,US Dollar,22.11,US Dollar,Credit Card,0
2022/09/09 07:14,22205,8024819D0,249407,81304F5A0,2487.86,US Dollar,2487.86,US Dollar,Cheque,0
2022/09/04 09:02,10,80379FF50,1362,80379FFA0,3529.76,US Dollar,3529.76,US Dollar,ACH,1
2022/09/07 07:37,21884,807FBB130,7,80844F2D0,38.86,UK Pound,38.86,UK Pound,ACH,0
2022/09/01 00:22,339433,80E89D160,33389,80E89BB90,3180.47,US Dollar,3180.47,US Dollar,ACH,0
2022/09/02 17:25,410,800ABAEA0,410,800ABBDA0,14845.06,Euro,14845.06,Euro,Cheque,0
2022/09/01 00:24,210185,80431DE50,210185,80431DE50,87759.42,Yen,87759.42,Yen,Reinvestment,0
2022/09/09 01:58,29467,8038547E0,11687,8048A0250,129518.21,Yen,129518.21,Yen,Cheque,0
2022/09/03 18:23,22775,801A2B180,24144,801A2AF00,2330.96,Euro,2330.96,Euro,ACH,0
2022/09/06 09:51,10656,80449CC60,11128,80F5793C0,18095.26,Yen,18095.26,Yen,Cheque,0
2022/09/03 14:35,11471,8012CD2A0,2843,80374EA90,17907.26,US Dollar,17907.26,US Dollar,Credit Card,0
2022/09/05 01:47,24,8039C6D40,24,8039DF3A0,6638670.27,Yen,6638670.27,Yen,Cheque,0
2022/09/08 03:57,27621,80A40E550,27995,80A4AF110,612.94,Australian Dollar,612.94,Australian Dollar,Cheque,0
